genus,n_hyb,n_neo
Centrolepis,NA,1
Centromadia,NA,1
Centrosema,NA,6
Centrostachys,NA,1
Cephalaria,NA,4
Ceratocapnos,NA,1
Ceratocarpus,NA,1
Ceratonia,NA,1
Ceratopetalum,NA,1
Ceratophyllum,NA,3
Ceratopteris,NA,3
Ceratostigma,NA,1
Cerbera,NA,2
Cercidiphyllum,NA,1
Cercis,NA,2
Cereus,NA,5
Cerinthe,NA,2
Ceriops,NA,1
Ceropegia,NA,1
Cestrum,NA,8
Chaenactis,NA,2
Chaenomeles,NA,3
Chaenorhinum,NA,2
Chaenostoma,NA,1
Chaerophyllum,NA,9
Chaetopappa,NA,1
Chaiturus,NA,1
Chamaecyparis,NA,3
Chamaecytisus,NA,4
Chamaedorea,NA,2
Chamaelirium,NA,1
Chamaemelum,NA,2
Chamaerhodos,NA,2
Chamaerops,NA,1
Chambeyronia,NA,1
Chamelaucium,NA,1
Chaptalia,NA,1
Chasmanthe,NA,3
Chasmanthium,NA,1
Cheirolophus,NA,1
Chelidonium,NA,1
Chelonanthus,NA,1
Chelone,NA,3
Chevreulia,NA,1
Chilopsis,NA,1
Chimaphila,NA,2
Chimonobambusa,NA,2
Chionanthus,NA,1
Chloracantha,NA,1
Chloranthus,NA,2
Chlorophytum,NA,2
Choisya,NA,1
Chondrilla,NA,1
Chorispora,NA,2
Chorizanthe,NA,1
Christia,NA,1
Christiana,NA,1
Chromolaena,NA,3
Chrozophora,NA,2
Chrysanthellum,NA,3
Chrysobalanus,NA,2
Chrysocoma,NA,1
Chrysogonum,NA,1
Chrysophyllum,NA,3
Chrysopogon,NA,5
Chrysothemis,NA,1
Chukrasia,NA,1
Cicendia,NA,2
Cicer,NA,1
Cichorium,NA,4
Cicuta,NA,3
Cineraria,NA,2
Cipura,NA,1
Cissampelopsis,NA,1
Cissampelos,NA,1
Cistanche,NA,1
Citrullus,NA,2
Cladanthus,NA,1
Cladium,NA,2
Cladoraphis,NA,1
Cladrastis,NA,1
Clarkia,NA,6
Clausena,NA,3
Claytonia,NA,4
Clematis,NA,27
Cleobulia,NA,1
Cleomella,NA,1
Cleretum,NA,3
Clerodendrum,NA,21
Cleyera,NA,1
Clianthus,NA,1
Clibadium,NA,2
Clidemia,NA,1
Clinacanthus,NA,1
Clitoria,NA,7
Clusia,NA,1
Clypeola,NA,1
Cnidium,NA,2
Cnidoscolus,NA,4
Cobaea,NA,1
Coccinia,NA,1
Coccocypselum,NA,1
Cocculus,NA,2
Cochlospermum,NA,2
Cocos,NA,1
Codariocalyx,NA,1
Codiaeum,NA,1
Coincya,NA,2
Coix,NA,1
Cola,NA,2
Colchicum,NA,1
Coleonema,NA,1
Coleostephus,NA,1
Collinsia,NA,2
Collomia,NA,3
Colocasia,NA,3
Colubrina,NA,1
Commelina,NA,14
Commiphora,NA,1
Condylocarpon,NA,1
Conicosia,NA,2
Conioselinum,NA,1
Conium,NA,1
Conocarpus,NA,2
Conoclinium,NA,1
Conopodium,NA,1
Conringia,NA,1
Convallaria,NA,1
Copaifera,NA,1
Corallocarpus,NA,1
Corchorus,NA,10
Cordia,NA,14
Corema,NA,1
Coreopsis,NA,11
Coriandrum,NA,1
Cornutia,NA,1
Coronilla,NA,4
Corrigiola,NA,1
Cortaderia,NA,3
Corynanthe,NA,1
Corynephorus,NA,2
Corynocarpus,NA,1
Cosmos,NA,4
Costus,NA,6
Cotinus,NA,2
Cotula,NA,8
Cotyledon,NA,2
Couroupita,NA,1
Craniolaria,NA,1
Crassocephalum,NA,2
Craterostigma,NA,1
Crateva,NA,2
Crepis,NA,24
Crescentia,NA,2
Crossandra,NA,1
Crossopetalum,NA,1
Crossostephium,NA,1
Crotalaria,NA,48
Croton,NA,19
Crucianella,NA,2
Crupina,NA,1
Cryptantha,NA,3
Cryptomeria,NA,1
Cryptostegia,NA,2
Cryptotaenia,NA,1
Ctenanthe,NA,1
Ctenium,NA,2
Cucumis,NA,10
Cullen,NA,3
Cuminum,NA,1
Cunninghamia,NA,1
Cupaniopsis,NA,1
Cuphea,NA,10
Cupressus,NA,9
Curcuma,NA,3
Cuscuta,NA,25
Cutandia,NA,1
Cyamopsis,NA,1
Cyanella,NA,1
Cyanotis,NA,3
Cyanthillium,NA,3
Cyathula,NA,3
Cyclanthera,NA,2
Cyclocarpa,NA,1
Cycloloma,NA,1
Cyclospermum,NA,1
Cydonia,NA,1
Cymbalaria,NA,3
Cymbopogon,NA,11
Cymophora,NA,1
Cynanchum,NA,4
Cynoglottis,NA,1
Cynometra,NA,1
Cynosurus,NA,3
Cyrilla,NA,1
Cyrtococcum,NA,2
Cyrtomium,NA,3
Cyrtosperma,NA,1
Cyrtostachys,NA,1
Cytisophyllum,NA,1
Daboecia,NA,1
Dacrycarpus,NA,1
Dactyliandra,NA,1
Dactylis,NA,1
Dactyloctenium,NA,7
Dahlia,NA,4
Dalbergia,NA,6
Dalea,NA,11
Dalechampia,NA,2
Danae,NA,1
Darlingtonia,NA,1
Darmera,NA,1
Darwinia,NA,1
Dasypyrum,NA,1
Datura,NA,8
Daucus,NA,8
Davallia,NA,1
Debregeasia,NA,1
Delairea,NA,1
Delarbrea,NA,1
Delilia,NA,1
Delonix,NA,1
Delosperma,NA,2
Dendrocalamus,NA,5
Dendrolobium,NA,1
Dendrosenecio,NA,1
Dennstaedtia,NA,1
Dentella,NA,2
Dermatophyllum,NA,1
Derris,NA,4
Deschampsia,NA,7
Descurainia,NA,5
Desmanthus,NA,6
Desmostachya,NA,1
Dianella,NA,2
Diaperia,NA,3
Diascia,NA,1
Dicentra,NA,3
Dichanthium,NA,5
Dichelachne,NA,3
Dichondra,NA,3
Dichorisandra,NA,2
Dichrocephala,NA,1
Dichrostachys,NA,2
Dicliptera,NA,2
Dicoma,NA,1
Dictamnus,NA,1
Didiplis,NA,1
Dieffenbachia,NA,1
Dierama,NA,2
Dieteria,NA,1
Dietes,NA,2
Digera,NA,1
Digitaria,NA,27
Dillenia,NA,2
Dimeria,NA,1
Dimocarpus,NA,1
Dimorphotheca,NA,5
Dinebra,NA,1
Dinetus,NA,1
Dioclea,NA,2
Diodia,NA,1
Dionaea,NA,1
Diplocyclos,NA,1
Dipogon,NA,1
Dischisma,NA,2
Discocactus,NA,1
Disocactus,NA,1
Disphyma,NA,2
Distichlis,NA,1
Ditaxis,NA,1
Dittrichia,NA,2
Dodartia,NA,1
Dodecastigma,NA,1
Dodonaea,NA,1
Doellingeria,NA,1
Dolichandra,NA,1
Dontostemon,NA,1
Dopatrium,NA,1
Dorstenia,NA,2
Doryanthes,NA,1
Dovyalis,NA,3
Dracaena,NA,15
Dracocephalum,NA,4
Dracunculus,NA,1
Drepanostachyum,NA,1
Drimiopsis,NA,1
Drosanthemum,NA,2
Drymaria,NA,4
Durio,NA,1
Dyckia,NA,1
Dypsis,NA,2
Dyschoriste,NA,3
Dysolobium,NA,1
Dyssodia,NA,2
Ecballium,NA,1
Eccremocarpus,NA,1
Echeandia,NA,1
Echinacea,NA,3
Echinochloa,NA,14
Echinocystis,NA,1
Echinodorus,NA,2
Echinops,NA,5
Echinospartum,NA,1
Eclipta,NA,1
Edgeworthia,NA,1
Ehretia,NA,2
Ehrharta,NA,8
Elaeis,NA,2
Elaeocarpus,NA,2
Elatine,NA,5
Elephantopus,NA,3
Elettaria,NA,1
Eleusine,NA,5
Eleutheranthera,NA,1
Eleutherine,NA,1
Eleutherococcus,NA,2
Ellisia,NA,1
Elodea,NA,4
Elsholtzia,NA,1
Elyhordeum,NA,1
Elytraria,NA,1
Embothrium,NA,1
Empetrum,NA,1
Encelia,NA,1
Encephalartos,NA,2
Enchylaena,NA,1
Engelmannia,NA,1
Enicostema,NA,1
Enneapogon,NA,2
Ensete,NA,1
Entada,NA,3
Enterolobium,NA,2
Enteropogon,NA,4
Entolasia,NA,1
Enydra,NA,2
Eomecon,NA,1
Epacris,NA,1
Epaltes,NA,1
Epiphyllum,NA,2
Epipremnum,NA,2
Episcia,NA,1
Eranthemum,NA,1
Eranthis,NA,1
Erechtites,NA,7
Eremochloa,NA,2
Eremogone,NA,3
Eremophila,NA,1
Eremopyrum,NA,3
Eria,NA,1
Erinus,NA,1
Eriocephalus,NA,1
Eriochloa,NA,12
Erioneuron,NA,1
Eriophyllum,NA,4
Eruca,NA,1
Erucaria,NA,1
Erucastrum,NA,4
Erythronium,NA,1
Erythrophleum,NA,1
Eschscholzia,NA,1
Escobaria,NA,1
Ethulia,NA,2
Etlingera,NA,2
Eubotrys,NA,1
Euchiton,NA,4
Euclasta,NA,1
Euclidium,NA,1
Eucomis,NA,1
Eucommia,NA,1
Eugenia,NA,5
Eulalia,NA,1
Euonymus,NA,11
Euryops,NA,4
Eustachys,NA,5
Eustoma,NA,2
Euterpe,NA,1
Euthamia,NA,1
Eutrema,NA,1
Eutrochium,NA,2
Evolvulus,NA,7
Exacum,NA,2
Excoecaria,NA,1
Exomis,NA,1
Facelis,NA,1
Fagopyrum,NA,3
Faidherbia,NA,1
Falcaria,NA,1
Falcataria,NA,1
Farfugium,NA,1
Fargesia,NA,1
Farsetia,NA,1
Fascicularia,NA,1
Fatoua,NA,1
Fatsia,NA,1
Felicia,NA,3
Ferraria,NA,1
Ferula,NA,1
Festulolium,NA,3
Fibigia,NA,1
Ficus,NA,26
Filicium,NA,1
Fingerhuthia,NA,1
Firmiana,NA,1
Fitchia,NA,1
Flacourtia,NA,4
Flaveria,NA,5
Fleischmannia,NA,1
Flemingia,NA,2
Flindersia,NA,1
Florestina,NA,1
Flueggea,NA,4
Foeniculum,NA,1
Fontanesia,NA,2
Forchhammeria,NA,1
Forestiera,NA,1
Francoa,NA,1
Frankenia,NA,3
Frasera,NA,2
Freesia,NA,4
Fridericia,NA,1
Froelichia,NA,2
Fuirena,NA,5
Funtumia,NA,2
Furcraea,NA,5
Gahnia,NA,2
Gaillardia,NA,4
Galax,NA,1
Galega,NA,2
Galinsoga,NA,2
Galphimia,NA,2
Gamochaeta,NA,6
Garcia,NA,1
Gardenia,NA,3
Garnotia,NA,1
Gastridium,NA,2
Gaudinia,NA,1
Gazania,NA,2
Geissorhiza,NA,1
Geitonoplesium,NA,1
Gelsemium,NA,1
Geranium,NA,45
Gerbera,NA,2
Geropogon,NA,1
Gibasis,NA,2
Gigantochloa,NA,5
Gilia,NA,8
Ginkgo,NA,1
Gisekia,NA,1
Glaucium,NA,2
Glebionis,NA,2
Glinus,NA,4
Gliricidia,NA,1
Glochidion,NA,1
Gloriosa,NA,1
Glossocardia,NA,1
Glossostigma,NA,1
Gloxinia,NA,1
Glycine,NA,4
Glycosmis,NA,1
Glycyrrhiza,NA,2
Gmelina,NA,4
Gnaphalium,NA,15
Gnidia,NA,2
Goldbachia,NA,1
Gomphocarpus,NA,3
Gomphrena,NA,4
Gonatopus,NA,1
Goniolimon,NA,1
Gonocarpus,NA,2
Gonolobus,NA,1
Goodenia,NA,1
Goodia,NA,1
Gorteria,NA,1
Gossypium,NA,5
Gouania,NA,2
Grammatotheca,NA,1
Grangea,NA,1
Graptophyllum,NA,1
Gratiola,NA,4
Grewia,NA,3
Grias,NA,1
Grindelia,NA,4
Griselinia,NA,1
Groenlandia,NA,1
Guadua,NA,3
Guaiacum,NA,1
Guazuma,NA,1
Guilleminea,NA,1
Guizotia,NA,1
Gutierrezia,NA,2
Gymnanthemum,NA,1
Gymnema,NA,1
Gymnocladus,NA,1
Gymnocoronis,NA,1
Gynerium,NA,1
Gynura,NA,3
Habenaria,NA,2
Hackelia,NA,4
Hackelochloa,NA,1
Haematoxylum,NA,1
Hainardia,NA,1
Hakea,NA,5
Halerpestes,NA,1
Halesia,NA,2
Halleria,NA,1
Halodule,NA,1
Halogeton,NA,1
Halophila,NA,2
Haloragis,NA,2
Hamamelis,NA,1
Hamelia,NA,1
Handroanthus,NA,4
Haplocarpha,NA,1
Hardenbergia,NA,1
Harpachne,NA,1
Harpephyllum,NA,1
Harpullia,NA,2
Harrisia,NA,5
Harungana,NA,1
Hasteola,NA,1
Haworthia,NA,1
Hebenstretia,NA,1
Hebestigma,NA,1
Hedeoma,NA,2
Hedyotis,NA,1
Hedypnois,NA,1
Heimia,NA,2
Helanthium,NA,1
Helenium,NA,8
Heliocarpus,NA,1
Heliomeris,NA,2
Heliophila,NA,2
Heliopsis,NA,2
Heliotropium,NA,14
Hellenia,NA,1
Helminthotheca,NA,1
Hemarthria,NA,2
Hemigraphis,NA,2
Hemizonia,NA,2
Herbertia,NA,1
Herissantia,NA,1
Heritiera,NA,1
Hermbstaedtia,NA,1
Hesperantha,NA,2
Hesperis,NA,6
Heteranthemis,NA,1
Heteranthera,NA,5
Heterocentron,NA,3
Heteropogon,NA,3
Heterosperma,NA,1
Heterotheca,NA,7
Heterotis,NA,2
Hevea,NA,1
Hexasepalum,NA,4
Hilaria,NA,1
Hilleria,NA,1
Himalayacalamus,NA,1
Hippeastrum,NA,6
Hippobroma,NA,1
Hippocrepis,NA,3
Hippuris,NA,1
Hiptage,NA,1
Hiraea,NA,1
Hirschfeldia,NA,1
Holmskioldia,NA,1
Holodiscus,NA,1
Holosteum,NA,1
Homalanthus,NA,2
Homolepis,NA,1
Honckenya,NA,1
Hoppea,NA,1
Hornungia,NA,1
Horsfordia,NA,1
Hottonia,NA,1
Houstonia,NA,2
Houttuynia,NA,1
Hovea,NA,2
Hovenia,NA,1
Howea,NA,2
Humulus,NA,2
Hunnemannia,NA,1
Hura,NA,1
Hyacinthus,NA,1
Hybanthus,NA,3
Hydnocarpus,NA,1
Hydrilla,NA,1
Hydrocera,NA,1
Hydrocharis,NA,4
Hydrocleys,NA,1
Hydrolea,NA,4
Hygrophila,NA,4
Hylomecon,NA,1
Hymenachne,NA,1
Hymenaea,NA,2
Hymenocallis,NA,2
Hymenothrix,NA,1
Hymenoxys,NA,2
Hyophorbe,NA,2
Hyoscyamus,NA,2
Hyparrhenia,NA,6
Hypecoum,NA,2
Hyperthelia,NA,1
Hypochaeris,NA,4
Hypoestes,NA,3
Hypoxis,NA,2
Hyptis,NA,11
Hyssopus,NA,1
Iberis,NA,8
Ibicella,NA,1
Idesia,NA,1
Illecebrum,NA,1
Imperata,NA,3
Indigofera,NA,33
Indocalamus,NA,1
Inocarpus,NA,1
Iochroma,NA,2
Ipheion,NA,1
Ipomopsis,NA,2
Iresine,NA,3
Isachne,NA,2
Isatis,NA,3
Ischaemum,NA,7
Ismelia,NA,1
Isocarpha,NA,1
Isolepis,NA,11
Isopyrum,NA,1
Isotoma,NA,1
Iva,NA,4
Ixia,NA,7
Ixophorus,NA,1
Ixora,NA,8
Jaborosa,NA,1
Jacaranda,NA,2
Jacquemontia,NA,1
Jacquinia,NA,1
Jaegeria,NA,1
Jaltomata,NA,1
Jasione,NA,1
Justicia,NA,13
Kadenia,NA,1
Kaempferia,NA,2
Kallstroemia,NA,4
Kalmia,NA,3
Kalopanax,NA,1
Kennedia,NA,2
Kerria,NA,1
Khaya,NA,3
Kigelia,NA,1
Kleinhovia,NA,1
Kleinia,NA,3
Koelreuteria,NA,4
Kohautia,NA,1
Kopsia,NA,1
Krapovickasia,NA,1
Krigia,NA,5
Kummerowia,NA,2
Kundmannia,NA,1
Lablab,NA,2
Lachenalia,NA,4
Lactuca,NA,19
Laennecia,NA,2
Lagarosiphon,NA,1
Lagascea,NA,1
Lagenaria,NA,2
Lagenophora,NA,1
Lagerstroemia,NA,3
Laggera,NA,2
Lagoecia,NA,1
Lagopsis,NA,1
Lagunaria,NA,1
Laguncularia,NA,1
Lagurus,NA,1
Lallemantia,NA,2
Lamarckia,NA,1
Lampranthus,NA,9
Lamprocapnos,NA,1
Lannea,NA,1
Lansium,NA,1
Lapeirousia,NA,1
Laportea,NA,3
Lappula,NA,7
Lapsana,NA,2
Lapsanastrum,NA,1
Lardizabala,NA,1
Laser,NA,1
Laserpitium,NA,2
Lasiacis,NA,1
Lasiospermum,NA,1
Lasthenia,NA,2
Latania,NA,1
Lathraea,NA,1
Launaea,NA,3
Laurus,NA,1
Lawsonia,NA,1
Layia,NA,1
Ledebouria,NA,1
Leea,NA,2
Leersia,NA,2
Legousia,NA,2
Lemna,NA,9
Lennea,NA,1
Leonotis,NA,3
Leonurus,NA,6
Leopoldia,NA,1
Lepechinia,NA,1
Lepidagathis,NA,1
Lepidium,NA,40
Lepironia,NA,1
Leptinella,NA,1
Leptochloa,NA,13
Leptopyrum,NA,1
Leptosiphon,NA,1
Leptospermum,NA,7
Lepyrodiclis,NA,1
Lessertia,NA,1
Leucadendron,NA,1
Leucanthemella,NA,1
Leucanthemopsis,NA,1
Leucas,NA,7
Leucojum,NA,3
Leucophyllum,NA,1
Leucophysalis,NA,1
Leucospora,NA,1
Leucothoe,NA,2
Levisticum,NA,1
Leycesteria,NA,1
Libertia,NA,1
Licuala,NA,1
Ligusticum,NA,3
Ligustrum,NA,12
Lilaeopsis,NA,2
Limnanthes,NA,1
Limnocharis,NA,2
Limnodea,NA,1
Limoniastrum,NA,1
Limosella,NA,2
Linanthus,NA,2
Lindera,NA,1
Lindernia,NA,8
Linnaea,NA,3
Linum,NA,18
Linzia,NA,1
Lippia,NA,2
Liquidambar,NA,1
Liriodendron,NA,2
Liriope,NA,3
Lisaea,NA,1
Litchi,NA,1
Lithodora,NA,1
Lithospermum,NA,3
Lithraea,NA,1
Litsea,NA,2
Livistona,NA,2
Lobularia,NA,1
Logfia,NA,1
Lomelosia,NA,1
Lonchocarpus,NA,3
Lophospermum,NA,1
Lophostemon,NA,1
Loropetalum,NA,1
Lotononis,NA,1
Luffa,NA,2
Luma,NA,1
Lunaria,NA,2
Luziola,NA,2
Lycianthes,NA,3
Lygodesmia,NA,2
Lysichiton,NA,2
Lysiloma,NA,2
Lythrum,NA,11
Maackia,NA,1
Macadamia,NA,3
Macaranga,NA,2
Machaeranthera,NA,1
Mackaya,NA,1
Macleaya,NA,1
Maclura,NA,2
Macropharynx,NA,1
Macroptilium,NA,3
Macrotyloma,NA,5
Madia,NA,3
Maesa,NA,1
Maesopsis,NA,1
Maireana,NA,1
Majidea,NA,1
Malachra,NA,4
Malephora,NA,1
Mallotus,NA,1
Malope,NA,2
Malpighia,NA,2
Malvastrum,NA,4
Malvaviscus,NA,2
Malvella,NA,2
Mammea,NA,1
Mandevilla,NA,1
Mangifera,NA,2
Manihot,NA,4
Manilkara,NA,2
Mansoa,NA,2
Maranta,NA,1
Margyricarpus,NA,1
Markhamia,NA,1
Marsilea,NA,7
Marsypianthes,NA,1
Martynia,NA,1
Mascarenhasia,NA,1
Matricaria,NA,4
Matthiola,NA,5
Maurandya,NA,3
Mauranthemum,NA,1
Mayaca,NA,1
Maytenus,NA,3
Mazus,NA,2
Mecardonia,NA,1
Medinilla,NA,1
Megaskepasma,NA,1
Melampodium,NA,5
Melanthera,NA,5
Melia,NA,1
Melianthus,NA,2
Melicoccus,NA,1
Melinis,NA,2
Melissa,NA,1
Melocanna,NA,1
Melochia,NA,7
Melothria,NA,1
Memecylon,NA,1
Menispermum,NA,1
Mentzelia,NA,4
Menyanthes,NA,1
Merremia,NA,28
Mertensia,NA,2
Mesembryanthemum,NA,8
Metasequoia,NA,1
Metroxylon,NA,1
Meum,NA,1
Mibora,NA,1
Miconia,NA,3
Microchloa,NA,2
Micrococca,NA,1
Micropsis,NA,2
Microseris,NA,3
Microsorum,NA,3
Microstachys,NA,2
Microstegium,NA,3
Microsteris,NA,1
Mikania,NA,4
Milium,NA,2
Millettia,NA,2
Millingtonia,NA,1
Mimosa,NA,19
Mimulus,NA,7
Mimusops,NA,3
Minuartia,NA,4
Misopates,NA,1
Mitracarpus,NA,1
Mitreola,NA,1
Mnesithea,NA,1
Modiola,NA,1
Moenchia,NA,1
Molinia,NA,1
Mollugo,NA,5
Molopospermum,NA,1
Moluccella,NA,2
Momordica,NA,3
Monopsis,NA,1
Monstera,NA,1
Montanoa,NA,2
Montia,NA,5
Moraea,NA,15
Moricandia,NA,1
Morinda,NA,2
Moringa,NA,1
Morisonia,NA,1
Morus,NA,5
Mosla,NA,1
Mucuna,NA,6
Muehlenbeckia,NA,3
Muntingia,NA,1
Muraltia,NA,1
Murdannia,NA,6
Murraya,NA,2
Musanga,NA,1
Muscari,NA,4
Mussaenda,NA,2
Myagrum,NA,1
Myoporum,NA,2
Myrica,NA,5
Myricaria,NA,1
Myriophyllum,NA,8
Myristica,NA,1
Myrosma,NA,1
Myroxylon,NA,2
Myrrhis,NA,1
Myrtillocactus,NA,1
Myrtus,NA,1
Najas,NA,8
Nama,NA,2
Nandina,NA,1
Napaea,NA,1
Nardus,NA,1
Nassella,NA,12
Neatostema,NA,1
Nelsonia,NA,1
Nelumbo,NA,2
Nemastylis,NA,1
Nemesia,NA,2
Nemophila,NA,5
Neogaerrhinum,NA,1
Neojeffreya,NA,1
Neolamarckia,NA,1
Neololeba,NA,1
Neonotonia,NA,1
Neotorularia,NA,2
Nephelium,NA,1
Neptunia,NA,4
Nerium,NA,1
Nertera,NA,1
Neslia,NA,1
Neuontobotrys,NA,1
Neurada,NA,1
Neurolaena,NA,1
Neyraudia,NA,1
Nicandra,NA,1
Nicotiana,NA,15
Nierembergia,NA,4
Nigella,NA,4
Nipponanthemum,NA,1
Noltea,NA,1
Noronhia,NA,1
Nothosaerva,NA,1
Notobasis,NA,1
Nuttallanthus,NA,2
Nypa,NA,1
Ochagavia,NA,1
Ochna,NA,4
Ochroma,NA,1
Ochrosia,NA,1
Ocotea,NA,1
Odontonema,NA,3
Oeceoclades,NA,1
Oemleria,NA,1
Oenanthe,NA,6
Ohwia,NA,1
Oldenlandia,NA,13
Oldenlandiopsis,NA,1
Olea,NA,2
Olimarabidopsis,NA,1
Olyra,NA,1
Omphalodes,NA,2
Oncosiphon,NA,3
Onoclea,NA,2
Operculina,NA,2
Ophiopogon,NA,1
Ophiuros,NA,1
Oplismenus,NA,4
Orbea,NA,1
Oreocarya,NA,1
Orlaya,NA,1
Orobanche,NA,13
Orontium,NA,1
Orthilia,NA,1
Orthocarpus,NA,2
Orthosiphon,NA,1
Orthrosanthus,NA,1
Orychophragmus,NA,1
Oryza,NA,2
Oryzopsis,NA,1
Osmanthus,NA,1
Ossaea,NA,1
Osteospermum,NA,8
Otholobium,NA,1
Othonna,NA,1
Ottelia,NA,2
Oxalis,NA,46
Oxydendrum,NA,1
Oxygonum,NA,2
Oxypetalum,NA,1
Oxypolis,NA,1
Oxyrhynchus,NA,1
Oxyspora,NA,1
Ozothamnus,NA,1
Pachira,NA,3
Pachyrhizus,NA,2
Pachysandra,NA,2
Pachystachys,NA,1
Paederia,NA,2
Palafoxia,NA,2
Palisota,NA,1
Paliurus,NA,1
Pallenis,NA,1
Pancratium,NA,2
Pandanus,NA,12
Pandorea,NA,2
Panphalea,NA,1
Pappobolus,NA,1
Pappophorum,NA,3
Parapholis,NA,2
Paraserianthes,NA,2
Parentucellia,NA,2
Parietaria,NA,5
Parinari,NA,1
Parkia,NA,1
Parmentiera,NA,2
Parnassia,NA,2
Parochetus,NA,1
Paronychia,NA,6
Parthenium,NA,3
Parthenocissus,NA,3
Pascalia,NA,1
Paspalum,NA,46
Passerina,NA,1
Pastinaca,NA,2
Patellifolia,NA,1
Paullinia,NA,3
Pavonia,NA,3
Paxistima,NA,1
Pedalium,NA,1
Peganum,NA,1
Pellionia,NA,1
Peltandra,NA,1
Peltaria,NA,1
Peltophorum,NA,2
Pentadesma,NA,1
Pentaglottis,NA,1
Pentameris,NA,2
Pentapetes,NA,1
Pentapogon,NA,1
Pentas,NA,2
Penthorum,NA,1
Pentodon,NA,1
Pentzia,NA,2
Pera,NA,1
Pereskia,NA,3
Perezia,NA,1
Periballia,NA,2
Perilla,NA,2
Periploca,NA,2
Perityle,NA,2
Perotis,NA,2
Persea,NA,2
Petitia,NA,1
Petiveria,NA,1
Petrea,NA,1
Petrorhagia,NA,4
Petroselinum,NA,1
Petunia,NA,3
Peucedanum,NA,3
Phacelia,NA,14
Phaius,NA,1
Phaleria,NA,1
Phanera,NA,1
Phaulopsis,NA,2
Phegopteris,NA,1
Phellodendron,NA,3
Phenax,NA,1
Philadelphus,NA,8
Phillyrea,NA,1
Philodendron,NA,9
Phlebodium,NA,1
Phlomoides,NA,1
Phoenix,NA,4
Pholiurus,NA,1
Phormium,NA,2
Phragmites,NA,2
Phryma,NA,1
Phuopsis,NA,1
Phycella,NA,1
Phygelius,NA,1
Phyllopodium,NA,1
Phyllostachys,NA,13
Physaria,NA,2
Physocarpus,NA,6
Physostegia,NA,4
Phytolacca,NA,10
Picnomon,NA,1
Picris,NA,6
Pieris,NA,2
Pilea,NA,8
Pimenta,NA,2
Pinanga,NA,1
Pinellia,NA,1
Piper,NA,10
Piptatherum,NA,2
Piptochaetium,NA,6
Pipturus,NA,1
Piriqueta,NA,1
Piscidia,NA,1
Pistia,NA,1
Pityopsis,NA,1
Plagianthus,NA,1
Plagiobothrys,NA,8
Planodes,NA,1
Platanus,NA,3
Platostoma,NA,1
Platycapnos,NA,1
Platycladus,NA,1
Platycodon,NA,1
Plecostachys,NA,1
Plectranthus,NA,20
Pleioblastus,NA,5
Pleiostachya,NA,1
Pleurothyrium,NA,1
Pluchea,NA,10
Plumbago,NA,3
Podachaenium,NA,1
Podalyria,NA,1
Podophyllum,NA,2
Podranea,NA,1
Pogonarthria,NA,1
Pogonatherum,NA,1
Pogostemon,NA,3
Polyalthia,NA,2
Polycarena,NA,1
Polycarpaea,NA,2
Polycarpon,NA,4
Polycnemum,NA,3
Polypremum,NA,1
Polyscias,NA,6
Polysphaeria,NA,1
Polytrias,NA,1
Pomaria,NA,1
Pongamia,NA,1
Pontederia,NA,8
Porana,NA,1
Poranopsis,NA,1
Porophyllum,NA,2
Portulaca,NA,12
Portulacaria,NA,1
Posidonia,NA,1
Posoqueria,NA,1
Pouteria,NA,3
Pouzolzia,NA,1
Praxelis,NA,1
Premna,NA,2
Prenanthes,NA,1
Priva,NA,1
Proboscidea,NA,2
Proiphys,NA,1
Prostanthera,NA,1
Protea,NA,2
Psathyrostachys,NA,1
Psephellus,NA,1
Pseudabutilon,NA,1
Pseudanamomis,NA,1
Pseudarthria,NA,1
Pseudechinolaena,NA,1
Pseudelephantopus,NA,1
Pseuderanthemum,NA,3
Pseudofumaria,NA,2
Pseudognaphalium,NA,5
Pseudogynoxys,NA,1
Pseudomuscari,NA,1
Pseudomussaenda,NA,1
Pseudosasa,NA,4
Pseudotsuga,NA,2
Psophocarpus,NA,2
Psoralea,NA,5
Psychotria,NA,3
Ptelea,NA,1
Pteridium,NA,1
Pterocarpus,NA,4
Pterocarya,NA,1
Pterocaulon,NA,1
Pterolepis,NA,1
Ptychosperma,NA,2
Pueraria,NA,5
Pulicaria,NA,4
Pultenaea,NA,1
Punica,NA,1
Pupalia,NA,3
Purshia,NA,2
Puschkinia,NA,2
Pycnanthemum,NA,4
Pycnostachys,NA,1
Pyracantha,NA,7
Pyrostegia,NA,1
Pyrrhopappus,NA,2
Pyrularia,NA,1
Quassia,NA,1
Radermachera,NA,1
Radiola,NA,1
Raphanus,NA,4
Raphia,NA,1
Rapistrum,NA,2
Ratibida,NA,4
Ravenala,NA,1
Rehmannia,NA,1
Reineckea,NA,1
Reinwardtia,NA,1
Retama,NA,3
Reutealis,NA,1
Rhagadiolus,NA,1
Rhaphiolepis,NA,4
Rhapis,NA,2
Rhexia,NA,1
Rhinacanthus,NA,1
Rhipsalis,NA,1
Rhodanthe,NA,1
Rhodomyrtus,NA,1
Rhodotypos,NA,1
Rhopalephora,NA,1
Rhynchosia,NA,7
Richardia,NA,6
Ricinus,NA,1
Ridolfia,NA,1
Rivina,NA,1
Rochelia,NA,1
Rodgersia,NA,1
Roella,NA,1
Rolandra,NA,1
Roldana,NA,1
Romneya,NA,2
