"key"	"dataValue"	"taxonId"	"origTaxonId"	"prefTaxonName"	"origTaxon"	"origQualifier"
"Disphyma crassifolium (L.) L.Bolus"		"2cd4p9h.9f3"	"2cd4p9h.9f3"	"Disphyma crassifolium (L.) L.Bolus"	"Disphyma crassifolium"	
"Iberis umbellata L."		"2cd4p9h.9f9"	"2cd4p9h.9f9"	"Iberis umbellata L."	"Iberis umbellata"	
"Laurus nobilis L."		"2cd4p9h.9ff"	"2cd4p9h.9ff"	"Laurus nobilis L."	"Laurus nobilis"	
"Tellima grandiflora (Pursh) Douglas ex Lindl."		"2cd4p9h.9fx"	"2cd4p9h.9fx"	"Tellima grandiflora (Pursh) Douglas ex Lindl."	"Tellima grandiflora"	
"Berberis buxifolia Lam."		"2cd4p9h.9fy"	"2cd4p9h.9fy"	"Berberis buxifolia Lam."	"Berberis buxifolia"	
"Rumex confertus x crispus = R. x skofitzii Blocki"		"2cd4p9h.9fz"	"2cd4p9h.9fz"	"Rumex confertus x crispus = R. x skofitzii Blocki"	"Rumex confertus x crispus = R. x skofitzii"	
"Vicia sativa L."		"2cd4p9h.9gb"	"2cd4p9h.9gb"	"Vicia sativa L."	"Vicia sativa"	
"Brassica juncea (L.) Czern."		"2cd4p9h.9h4"	"2cd4p9h.9h4"	"Brassica juncea (L.) Czern."	"Brassica juncea"	
"Neslia paniculata (L.) Desv."		"2cd4p9h.9h7"	"2cd4p9h.9h7"	"Neslia paniculata (L.) Desv."	"Neslia paniculata"	
"Sorbus latifolia (Lam.) Pers. s.s."		"2cd4p9h.9hm"	"2cd4p9h.9hm"	"Sorbus latifolia (Lam.) Pers. s.s."	"Sorbus latifolia"	"s.s."
"Mentha longifolia x suaveolens = M. x rotundifolia (L.) Huds."		"2cd4p9h.9hp"	"2cd4p9h.9hp"	"Mentha longifolia x suaveolens = M. x rotundifolia (L.) Huds."	"Mentha longifolia x suaveolens = M. x rotundifolia"	
"Bidens frondosa L."		"2cd4p9h.9v0"	"2cd4p9h.9v0"	"Bidens frondosa L."	"Bidens frondosa"	
"Spiraea douglasii Hook."		"2cd4p9h.9v3"	"2cd4p9h.9v3"	"Spiraea douglasii Hook."	"Spiraea douglasii"	
"Spiraea douglasii Hook. subsp. douglasii"		"2cd4p9h.9v9"	"2cd4p9h.9v9"	"Spiraea douglasii Hook. subsp. douglasii"	"Spiraea douglasii subsp. douglasii"	
"Prunus domestica x spinosa = P. x fruticans Weihe"		"2cd4p9h.9vv"	"2cd4p9h.9vv"	"Prunus domestica x spinosa = P. x fruticans Weihe"	"Prunus domestica x spinosa = P. x fruticans"	
"Epilobium ciliatum x hirsutum = E. x novae-civitatis Smejkal"		"2cd4p9h.9wk"	"2cd4p9h.9wk"	"Epilobium ciliatum x hirsutum = E. x novae-civitatis Smejkal"	"Epilobium ciliatum x hirsutum = E. x novae-civitatis"	
"Epilobium roseum x ciliatum = E. x nutantiflorum Smejkal"		"2cd4p9h.9wt"	"2cd4p9h.9wt"	"Epilobium roseum x ciliatum = E. x nutantiflorum Smejkal"	"Epilobium roseum x ciliatum = E. x nutantiflorum"	
"Senecio sylvaticus x viscosus = S. x viscidulus Scheele"		"2cd4p9h.9kg"	"2cd4p9h.9kg"	"Senecio sylvaticus x viscosus = S. x viscidulus Scheele"	"Senecio sylvaticus x viscosus = S. x viscidulus"	
