"key","taxonId.x","hybrid_species","parents","name","taxonId.y","native_status","StaceIV_nativity","native_combined"
"Epilobium obscurum x roseum = E. x brachiatum Čelak.","2cd4p9h.2f1","Epilobium x brachiatum Čelak.","parent2","Epilobium roseum","2cd4p9h.xv9","N","N","native"
"Epilobium alsinifolium x anagallidifolium = E. x boissieri Hausskn.","2cd4p9h.2fa","Epilobium x boissieri Hausskn.","parent1","Epilobium alsinifolium","2cd4p9h.yk4","N","N","native"
"Epilobium alsinifolium x anagallidifolium = E. x boissieri Hausskn.","2cd4p9h.2fa","Epilobium x boissieri Hausskn.","parent2","Epilobium anagallidifolium","2cd4p9h.yk7","N","N","native"
"Verbascum lychnitis x nigrum = V. x incanum Gaudin","2cd4p9h.2fw","Verbascum x incanum Gaudin","parent1","Verbascum lychnitis","2cd4p9h.cyf","N","N","native"
"Verbascum lychnitis x nigrum = V. x incanum Gaudin","2cd4p9h.2fw","Verbascum x incanum Gaudin","parent2","Verbascum nigrum","2cd4p9h.m6t","N","N","native"
"Linaria purpurea x repens = L. x dominii Druce","2cd4p9h.2fm","Linaria x dominii Druce","parent1","Linaria purpurea","2cd4p9h.xp5","AN","Neo-natd","neophyte"
"Linaria purpurea x repens = L. x dominii Druce","2cd4p9h.2fm","Linaria x dominii Druce","parent2","Linaria repens","2cd4p9h.1d4","AR","Arch-denizen","native"
"Ajuga pyramidalis x reptans = A. x pseudopyramidalis Schur","2cd4p9h.2fs","Ajuga x pseudopyramidalis Schur","parent1","Ajuga pyramidalis","2cd4p9h.v69","N","N","native"
"Ajuga pyramidalis x reptans = A. x pseudopyramidalis Schur","2cd4p9h.2fs","Ajuga x pseudopyramidalis Schur","parent2","Ajuga reptans","2cd4p9h.ez4","N","N","native"
"Cirsium eriophorum x vulgare = C. x grandiflorum Kitt.","2cd4p9h.2g6","Cirsium x grandiflorum Kitt.","parent1","Cirsium eriophorum","2cd4p9h.xge","N","N","native"
"Cirsium eriophorum x vulgare = C. x grandiflorum Kitt.","2cd4p9h.2g6","Cirsium x grandiflorum Kitt.","parent2","Cirsium vulgare","2cd4p9h.qd","N","N","native"
"Cirsium palustre x tuberosum = C. x semidecurrens Richt.","2cd4p9h.2g9","Cirsium x semidecurrens Richt.","parent1","Cirsium palustre","2cd4p9h.8hn","N","N","native"
"Cirsium palustre x tuberosum = C. x semidecurrens Richt.","2cd4p9h.2g9","Cirsium x semidecurrens Richt.","parent2","Cirsium tuberosum","2cd4p9h.bra","N","N","native"
"Cirsium acaule x arvense = C. x boulayi E.G.Camus","2cd4p9h.2gc","Cirsium x boulayi E.G.Camus","parent1","Cirsium acaule","2cd4p9h.8he","N","N","native"
"Cirsium acaule x arvense = C. x boulayi E.G.Camus","2cd4p9h.2gc","Cirsium x boulayi E.G.Camus","parent2","Cirsium arvense","2cd4p9h.8hh","N","N","native"
"Juncus balticus x inflexus = J. x lancastriensis Stace","2cd4p9h.2gf","Juncus x lancastriensis Stace","parent1","Juncus balticus","2cd4p9h.yp8","N","N","native"
"Juncus balticus x inflexus = J. x lancastriensis Stace","2cd4p9h.2gf","Juncus x lancastriensis Stace","parent2","Juncus inflexus","2cd4p9h.xy9","N","N","native"
"Dactylorhiza maculata x purpurella = D. x formosa (T.Stephenson & T.A.Stephenson) Soó","2cd4p9h.2gv","Dactylorhiza x formosa (T.Stephenson & T.A.Stephenson) Soó","parent1","Dactylorhiza maculata","2cd4p9h.sq","N","N","native"
"Dactylorhiza maculata x purpurella = D. x formosa (T.Stephenson & T.A.Stephenson) Soó","2cd4p9h.2gv","Dactylorhiza x formosa (T.Stephenson & T.A.Stephenson) Soó","parent2","Dactylorhiza purpurella","2cd4p9h.xhg","N","N","native"
"Carex riparia x vesicaria = C. x csomadensis Simonk.","2cd4p9h.2gy","Carex x csomadensis Simonk.","parent1","Carex riparia","2cd4p9h.xes","N","N","native"
