id	relatedResourceID	relationshipOfResource
7913	7903	hybrid parent of
7913	7893	hybrid parent of
9571	7865	hybrid parent of
9571	7861	hybrid parent of
25515	9214	hybrid parent of
25515	9207	hybrid parent of
7724	7726	hybrid parent of
9181	9150	hybrid parent of
9181	9128	hybrid parent of
9617	9100	hybrid parent of
9617	9087	hybrid parent of
9186	9075	hybrid parent of
9186	9066	hybrid parent of
26113	6310	hybrid parent of
26113	6247	hybrid parent of
26143	8241	hybrid parent of
26143	8236	hybrid parent of
26155	5552	hybrid parent of
26155	5547	hybrid parent of
26177	3687	hybrid parent of
26177	3695	hybrid parent of
26202	8291	hybrid parent of
26202	8313	hybrid parent of
9530	9527	hybrid parent of
9530	9518	hybrid parent of
9533	9518	hybrid parent of
9533	9491	hybrid parent of
26210	9117	hybrid parent of
26210	9079	hybrid parent of
9177	9092	hybrid parent of
9177	9081	hybrid parent of
26293	5014	hybrid parent of
26476	8859	hybrid parent of
26476	8864	hybrid parent of
6951	6941	hybrid parent of
26499	3565	hybrid parent of
26499	3521	hybrid parent of
5618	5608	hybrid parent of
5618	5604	hybrid parent of
6645	6643	hybrid parent of
6645	6641	hybrid parent of
9537	9495	hybrid parent of
9537	9492	hybrid parent of
20036	8735	hybrid parent of
20036	8732	hybrid parent of
26920	7136	hybrid parent of
26920	7149	hybrid parent of
9777	8830	hybrid parent of
9777	9776	hybrid parent of
26942	8825	hybrid parent of
26942	8832	hybrid parent of
26944	3552	hybrid parent of
26944	3546	hybrid parent of
26945	3552	hybrid parent of
26945	3555	hybrid parent of
26949	3546	hybrid parent of
26949	3555	hybrid parent of
8019	7749	hybrid parent of
8019	7607	hybrid parent of
5288	5280	hybrid parent of
5288	5275	hybrid parent of
3714	3705	hybrid parent of
3714	3699	hybrid parent of
27145	3697	hybrid parent of
27145	3705	hybrid parent of
3708	3687	hybrid parent of
3708	3695	hybrid parent of
12857	3687	hybrid parent of
12857	3697	hybrid parent of
3711	3688	hybrid parent of
3711	3692	hybrid parent of
5180	5132	hybrid parent of
5180	5067	hybrid parent of
11667	3285	hybrid parent of
11667	3282	hybrid parent of
6177	6182	hybrid parent of
27237	8947	hybrid parent of
27237	8931	hybrid parent of
27293	7600	hybrid parent of
27293	7609	hybrid parent of
27318	8929	hybrid parent of
27318	8947	hybrid parent of
20439	8929	hybrid parent of
20439	8944	hybrid parent of
8930	8920	hybrid parent of
8930	8947	hybrid parent of
3508	3477	hybrid parent of
3508	3472	hybrid parent of
8021	7750	hybrid parent of
8021	7725	hybrid parent of
5974	5959	hybrid parent of
5974	5966	hybrid parent of
9470	9467	hybrid parent of
9470	9460	hybrid parent of
27750	6576	hybrid parent of
27750	6575	hybrid parent of
27800	2503	hybrid parent of
27800	2506	hybrid parent of
27801	2506	hybrid parent of
27801	27783	hybrid parent of
27802	25270	hybrid parent of
27802	2498	hybrid parent of
27805	9814	hybrid parent of
27805	27760	hybrid parent of
27913	6390	hybrid parent of
27913	6393	hybrid parent of
27919	6676	hybrid parent of
27919	6677	hybrid parent of
8310	8303	hybrid parent of
8310	8336	hybrid parent of
27907	17625	hybrid parent of
