family,genus,rn.bl,bn.bl,nspp_in_genera,div_rate_basal_age_upper,div_rate_basal_age_lower,div_rate_root_age_upper,div_rate_root_age_lower,hyb_present,neo_present,type
Solanaceae,Scopolia,4.64311600000008,2.66658,3,0.4119929980229769,0.06837280591392517,0.23661099327867124,0.03926706909626024,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Przewalskia,6.404234,6.404234,2,0.10823264430374425,0.014882369976538167,0.10823264430374425,0.014882369976538167,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Anisodus,7.25699000000009,1.333841,5,1.206619014135943,0.25225813018284254,0.22177761198983054,0.046365261164919444,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Atropanthe,8.97742,8.97742,2,0.07721006486941073,0.01061665598850504,0.07721006486941073,0.01061665598850504,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Atropa,9.57772000000006,1.005981,6,1.781106670233389,0.4030544395054821,0.18707578309117867,0.042334199382333355,hybrid,neophyte,hybrid & neophyte
Solanaceae,Jaborosa,16.8715190000001,6.174451,26,0.5276738835600902,0.20289463281761694,0.19311222291374375,0.07425312258459718,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Discopodium,16.87152,16.87152,2,0.04108386088271509,0.005649175640625441,0.04108386088271509,0.005649175640625441,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Latua,17.338833,17.338833,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Combera,4.025988,4.025988,2,0.1721682182261709,0.023673736683846286,0.1721682182261709,0.023673736683846286,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Pantacantha,4.025988,4.025988,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Reyesia,23.337534,23.337534,4,0.059401921433510946,0.01124215885309437,0.059401921433510946,0.01124215885309437,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Nicotiana,24.488208,11.45555,89,0.39183071696532595,0.19923813223079867,0.183297870131295,0.09320332405198968,no hybrid,neophyte,no hybrid & neophyte
Solanaceae,Cyphanthera,3.30921000000006,3.30381,12,0.752133642608988,0.22457022187395073,0.7509063038574025,0.22420376607388579,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Duboisia,3.30921000000006,1.670638,4,0.8297993707313557,0.15704435339522438,0.41892003261197247,0.07928305077873152,no hybrid,no neophyte,no hybrid & no neophyte
Solanaceae,Crenidium,3.887446,3.887446,1,0,0,0,0,no hybrid,no neophyte,no hybrid & no neophyte
